pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,wrate,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
82,668678,Zac Gallen,82,100,0.105,0,0.182,0.105,0.092,0.107,0.116,2,19,71.3,-9.2,2239,90.6,90.53,9,35,0.257142857,40,-0.1,6.22,109,145,103,147,290,297,267
82,548389,Ross Stripling,82,100,0.15,0,0.231,0.15,0.182,0.213,0.187,3,20,72.1,-3.1,2246,88.7,88.26,10,33,0.303030303,45,-0.4,5.96,108,145,102,147,289,299,270
81,593528,Jorge Bonifacio,81,100,0.35,0.15,0.538,0.5,0.376,0.253,0.22,7,20,78.7,16.9,2126,87.3,86.98,12,41,0.292682927,40,-0.3,6.05,105,155,119,145,297,310,279
81,502190,Mike Leake,81,100,0.048,0,0.1,0.048,0.071,0.116,0.101,1,21,66.9,3.8,2282,89.6,89.18,16,37,0.432432432,38,-0.4,5.97,105,146,105,145,291,308,279
80,624407,Tzu-Wei Lin,80,100,0.2,0.1,0.286,0.3,0.255,0.161,0.113,4,20,79.1,12.8,2240,87.5,86.83,11,41,0.268292683,37,-0.7,5.92,102,146,103,148,272,319,301
78,570632,Jose Urena,78,100,0,0,0,0,0.035,0.058,0.022,0,19,57.9,-7.1,2224,89.7,89.16,13,27,0.481481481,42,-0.5,5.98,104,145,99,145,284,298,268
77,456030,Dustin Pedroia,77,100,0.1,0,0.111,0.1,0.116,0.202,0.187,2,20,83.6,7.2,2280,89.6,88.91,4,34,0.117647059,43,-0.7,5.88,103,148,112,145,292,312,286
75,573186,Marcus Stroman,75,100,0.043,0,0.1,0.043,0.038,0.141,0.163,1,23,75,-6.3,2268,88.1,87.83,28,55,0.509090909,18,-0.3,5.97,116,150,107,149,292,308,275
74,448179,Rich Hill,74,100,0.167,0.056,0.333,0.222,0.193,0.153,0.136,3,18,65.5,5.2,2213,88.9,88.96,10,34,0.294117647,38,0.1,6.22,108,149,103,148,271,300,288
74,543432,Ryan Lavarnway,74,100,0.278,0.444,0.273,0.722,0.422,0.305,0.21,5,18,81.6,9.3,2203,88.9,88.49,8,36,0.222222222,38,-0.4,6.01,104,150,115,145,303,312,289
74,592767,Drew Smyly,74,100,0,0,0,0,0.035,0.073,0.044,0,19,76.2,-13.9,2211,91,90.84,10,32,0.3125,34,-0.2,6.1,110,145,98,145,256,292,283
74,641878,Ian Miller,74,100,0.176,0.059,0.214,0.235,0.176,0.237,0.249,3,17,81.3,17.7,2144,89.1,88.91,11,41,0.268292683,33,-0.2,6.02,108,147,105,148,285,318,300
